ref,composer,composer_full,surname,season,titles,category,handwritten,confidence,source_photos,flags
D-082,HANDEL,George Frideric Handel,Handel,,Worthy is the Lamb,anthem,yes,0.98,IMG_4291;IMG_4292,
D-083,HANDEL,George Frideric Handel,Handel,,My belov'd is mine,anthem,yes,0.40,IMG_4291,check
D-084,HANDEL,George Frideric Handel,Handel,,Let the bright seraphim (Trebles); Zadok the Priest,anthem,yes,0.75,IMG_4291,damaged
D-085,HANDEL,George Frideric Handel,Handel,advent;passiontide;easter,Since by man came death; Behold the Lamb of God; And the glory of the Lord,anthem,yes,0.85,IMG_4291,
D-086,HANDEL,George Frideric Handel,Handel,christmas;easter,Hallelujah Chorus,anthem,yes,0.90,IMG_4291,
D-087,HANDEL,George Frideric Handel,Handel,,Zadok the Priest (York Series SSAATBB),anthem,no,0.97,IMG_4293,cover; Leeds Parish Church stamp; refs 232 / Y.S.370
D-088,HANDL (GALLUS),Jacob Handl,Handl,christmas,In nomine Jesu; Mirabile mysterium,anthem,yes,0.40,IMG_4291,check
D-089,HANDL (GALLUS),Jacob Handl,Handl,advent,Pater noster; Egredietur virga; Cantate tuba,anthem,yes,0.40,IMG_4304,check; label reads Harell
D-090,HARRIS,William H. Harris,Harris,,Faire is the heaven,anthem,no,0.90,IMG_4299;IMG_4304,
D-091,HARRIS,William H. Harris,Harris,,O what their joy,anthem,no,0.90,IMG_4296;IMG_4299;IMG_4304,
D-092,HARRIS,William H. Harris,Harris,,Bring us O Lord,anthem,yes,0.55,IMG_4299;IMG_4304,
D-093,HARRIS,William H. Harris,Harris,,The Holy Eucharist,setting,no,0.90,IMG_4304,
D-094,HARRIS,William H. Harris,Harris,pentecost,Come down O Love divine,anthem,yes,0.85,IMG_4295,
D-095,HARRIS,William H. Harris,Harris,,King of glory King of peace,anthem,yes,0.90,IMG_4296,SSS circled
D-096,HARRIS,William H. Harris,Harris,passiontide,Vox ultima Crucis (in English),anthem,yes,0.92,IMG_4297,U circled
D-097,HARRIS,William H. Harris,Harris,,Behold the tabernacle of God,anthem,yes,0.95,IMG_4298,
D-098,HARWOOD,Basil Harwood,Harwood,allsaints,O how glorious is the Kingdom (2 parcels),anthem,mixed,0.90,IMG_4299;IMG_4304,
D-099,HASSLER,Hans Leo Hassler,Hassler,christmas,Laetentur coeli (TTBB),anthem,no,0.90,IMG_4302,
D-100,HAYDN,Joseph Haydn,Haydn,,Insanae et vanae curae,anthem,no,0.92,IMG_4302,damaged
D-101,HAYDN,Joseph Haydn,Haydn,,The heavens are telling,anthem,no,0.95,IMG_4302,
D-102,HAYDN,Joseph Haydn,Haydn,,Achieved is the glorious work,anthem,no,0.85,IMG_4304,
D-103,HEWITT-JONES,Tony Hewitt-Jones,Hewitt-Jones,,At the round earth's imagin'd corners,anthem,yes,0.85,IMG_4303,
D-104,HEWITT-JONES,Tony Hewitt-Jones,Hewitt-Jones,,New Service,setting,yes,0.35,IMG_4303,check
D-105,HEWITT-JONES,Tony Hewitt-Jones,Hewitt-Jones,,In our service,anthem,yes,0.50,IMG_4302,check
D-106,HILTON,John Hilton,Hilton,lent,Lord for Thy tender,anthem,no,0.90,IMG_4302,
D-107,HOLLINS,Alfred Hollins,Hollins,easter,Why seek ye the living among the dead,anthem,yes,0.75,IMG_4306,
D-108,HOLLINS,Alfred Hollins,Hollins,,God the All-Fatherly,anthem,yes,0.90,IMG_4307,
D-109,HOLST,Gustav Holst,Holst,,Turn back O man,anthem,yes,0.95,IMG_4308,
D-110,HOLST,Gustav Holst,Holst,marian,Ave Maria,anthem,yes,0.55,IMG_4309,check contents
D-111,HOWELLS,Herbert Howells,Howells,marian,Behold O God our defender; Salve Regina; O salutaris hostia,anthem,yes,0.75,IMG_4302,
D-112,HOWELLS,Herbert Howells,Howells,,Like as the hart,anthem,mixed,0.95,IMG_4302;IMG_4312,two parcels
D-113,HOWELLS,Herbert Howells,Howells,,My eyes for beauty,anthem,no,0.90,IMG_4302,
D-114,HOWELLS,Herbert Howells,Howells,,When first thine eies,anthem,no,0.90,IMG_4302,
D-115,HOWELLS,Herbert Howells,Howells,saints,A Hymn for St Cecilia,anthem,yes,0.92,IMG_4311,
D-116,HOWELLS,Herbert Howells,Howells,,O pray for the peace of Jerusalem,anthem,yes,0.97,IMG_4310,
D-117,HURFORD,Peter Hurford,Hurford,pentecost,Litany to the Holy Spirit,anthem,no,0.88,IMG_4314,shared box with next two
D-118,HUMFREY,Pelham Humfrey,Humfrey,,Rejoice in the Lord,anthem,no,0.95,IMG_4314,
D-119,HURD,Michael Hurd,Hurd,,O come let us sing,anthem,no,0.95,IMG_4314,
D-120,IRELAND,John Ireland,Ireland,passiontide;remembrance,Greater love; Ex ore innocentium,anthem,no,0.93,IMG_4314,
D-121,JACOB (arr.),Gordon Jacob,Jacob,,Brother James's Air (SATB),anthem,yes,0.90,IMG_4315;IMG_4316;IMG_4317,also OUP unison/descant copy
D-122,JOHNSON,Johnson,Johnson,passiontide;holyweek,Benedicam Domino; Crux fidelis,anthem,no,0.80,IMG_4314;IMG_4318,
D-123,JONES,Jones,Jones,passiontide,Morte Christe,anthem,yes,0.65,IMG_4314,check
D-124,JOUBERT,John Joubert,Joubert,,O Lorde the maker,anthem,no,0.45,IMG_4314,check title
D-125,KING (John IV of Portugal),John IV of Portugal,King,passiontide;holyweek,Crux fidelis; Bread of the world,anthem,yes,0.55,IMG_4320,check
D-126,LASSUS,Orlande de Lassus,Lassus,passiontide;holyweek,Tristis est anima,anthem,yes,0.75,IMG_4320,
D-127,LAURIDSEN,Morten Lauridsen,Lauridsen,christmas,O magnum mysterium,anthem,yes,0.90,IMG_4319,
D-128,LEIGHTON,Kenneth Leighton,Leighton,,Let all the world,anthem,yes,0.90,IMG_4320,
D-129,LEY,Henry Ley,Ley,easter,The strife is o'er,anthem,yes,0.90,IMG_4322,
D-130,LINDLEY,Simon Lindley,Lindley,marian,Ave Maria,anthem,yes,0.45,IMG_4320,check
D-131,LOCK,Lock,Lock,wedding,Love is patient,anthem,yes,0.40,IMG_4320,check
D-132,LOOSEMORE,Henry Loosemore,Loosemore,,O Lord increase my faith,anthem,yes,0.55,IMG_4320,
D-133,LOTTI,Antonio Lotti,Lotti,passiontide,Crucifixus,anthem,yes,0.70,IMG_4320,
D-134,MACMILLAN,James MacMillan,MacMillan,,O give thanks unto the Lord,anthem,yes,0.60,IMG_4320,check
D-135,MARCELLO,Benedetto Marcello,Marcello,,Give ear unto me (Trebles),anthem,no,0.85,IMG_4324,
D-136,MARCHANT,Stanley Marchant,Marchant,allsaints,The souls of the righteous,anthem,yes,0.97,IMG_4325,
D-137,MARTIN,Martin,Martin,,Magnify His name,anthem,yes,0.97,IMG_4326,
D-138,MASCAGNI,Pietro Mascagni,Mascagni,easter,Easter Hymn (Cavalleria Rusticana),anthem,no,0.97,IMG_4323,cover; old ref S.11?
D-139,MATHIAS,William Mathias,Mathias,ascension,Lift up your heads O ye gates,anthem,yes,0.97,IMG_4327,
D-140,MAWBY,Colin Mawby,Mawby,funeral,Libera me Domine,anthem,no,0.50,IMG_4324,check
D-141,MAWBY?,Mawby,Mawby,christmas,Christ is born,carol,yes,0.50,IMG_4300,label reads MAWES; check
D-142,MCKIE,William McKie,McKie,,We wait for thy loving kindness,anthem,no,0.65,IMG_4331;IMG_4332,
D-143,MENDELSSOHN,Felix Mendelssohn,Mendelssohn,,Hear my prayer,anthem,yes,0.85,IMG_4324,
D-144,MENDELSSOHN,Felix Mendelssohn,Mendelssohn,,How lovely are Thy messengers,anthem,yes,0.85,IMG_4324;IMG_4325;IMG_4326;IMG_4327,
D-145,MENDELSSOHN,Felix Mendelssohn,Mendelssohn,,Lift thine eyes,anthem,no,0.70,IMG_4324,
D-146,MENDELSSOHN,Felix Mendelssohn,Mendelssohn,christmas;epiphany,He that shall endure; When Jesus our Lord; Say where He is born; There shall a star,anthem,yes,0.65,IMG_4324,
D-147,MENDELSSOHN,Felix Mendelssohn,Mendelssohn,,Behold God the Lord,anthem,yes,0.70,IMG_4324,
D-148,MESSIAEN,Olivier Messiaen,Messiaen,,O sacrum convivium,anthem,yes,0.95,IMG_4328,
D-149,MONTEVERDI,Claudio Monteverdi,Monteverdi,marian,Ave maris stella,anthem,no,0.85,IMG_4324,
D-150,MOORE,Moore,Moore,,Through the day,anthem,yes,0.60,IMG_4324,
D-151,MORLEY,Thomas Morley,Morley,,Agnus Dei,anthem,no,0.85,IMG_4324,
D-152,MORLEY,Thomas Morley,Morley,funeral,I am the resurrection,anthem,no,0.75,IMG_4324;IMG_4328,
D-153,MORLEY,Thomas Morley,Morley,lent;passiontide,Nolo mortem peccatoris; Out of the deep,anthem,yes,0.90,IMG_4329;IMG_4331,two parcels
D-154,MORLEY,Thomas Morley,Morley,,Let my complaint,anthem,no,0.97,IMG_4333,cover photo
D-155,MOZART,Wolfgang Amadeus Mozart,Mozart,,Ave verum corpus,anthem,mixed,0.90,IMG_4331;IMG_4332,
D-156,MOZART,Wolfgang Amadeus Mozart,Mozart,,Laudate pueri,anthem,no,0.70,IMG_4331,check
D-157,MOZART,Wolfgang Amadeus Mozart,Mozart,,Laudate Dominum,anthem,yes,0.95,IMG_4331,
D-158,MUDD,Thomas Mudd,Mudd,,Let Thy merciful ears,anthem,yes,0.90,IMG_4331,possible old ref F7
D-159,MUDD,Thomas Mudd,Mudd,,O Lord the maker of all things; Sing joyfully,anthem,yes,0.85,IMG_4331,Sing Joyfully likely Byrd
D-160,MUNDY,William Mundy,Mundy,,O Lord the maker of all thing,anthem,yes,0.95,IMG_4334,Tudor Church Music wallet
D-161,NARES,James Nares,Nares,,The voice of joy (Trebles); Try me O God,anthem,no,0.75,IMG_4335,damaged
D-162,NAYLOR,Edward Naylor,Naylor,advent,Vox dicentis: Clama,anthem,yes,0.85,IMG_4335;IMG_4340,
D-163,NICHOLSON,Sydney Nicholson,Nicholson,,Two motets: O salutaris / Tantum ergo,anthem,no,0.75,IMG_4335,damaged
D-164,OLDROYD,George Oldroyd,Oldroyd,,Prayer to Jesus,anthem,no,0.40,IMG_4336,check
D-165,OUSELEY,Frederick Ouseley,Ouseley,,For He is good,anthem,yes,0.95,IMG_4339,
D-166,OUSELEY,Frederick Ouseley,Ouseley,,From the rising of the sun,anthem,yes,0.95,IMG_4340,
D-167,PALESTRINA,Giovanni Pierluigi da Palestrina,Palestrina,,Adoramus te; O bone Jesu; Tu es Petrus,anthem,no,0.90,IMG_4335,
D-168,PALESTRINA,Giovanni Pierluigi da Palestrina,Palestrina,,Exsultate Deo,anthem,no,0.85,IMG_4335,
D-169,PALESTRINA/PLAINSONG,Giovanni Pierluigi da Palestrina,Palestrina,,Now my tongue,anthem,no,0.85,IMG_4335,
D-170,PALESTRINA,Giovanni Pierluigi da Palestrina,Palestrina,,Sicut cervus; Deus tu convertens,anthem,yes,0.85,IMG_4335,
D-171,PALESTRINA,Giovanni Pierluigi da Palestrina,Palestrina,trinity,Benedicta sit Sancta Trinitas (F and E flat),anthem,yes,0.85,IMG_4335,
D-172,PARRY,Charles Hubert Hastings Parry,Parry,,Hear my words,anthem,yes,0.90,IMG_4336,
D-173,PARRY,Charles Hubert Hastings Parry,Parry,,My soul there is a country; Long since in Egypt,anthem,yes,0.65,IMG_4336,
D-174,PARRY,Charles Hubert Hastings Parry,Parry,,Blest pair of sirens (2 parcels),anthem,yes,0.65,IMG_4336,
D-175,PARRY,Charles Hubert Hastings Parry,Parry,funeral,Crossing the bar,anthem,no,0.60,IMG_4336;IMG_4459,damaged
D-176,PARRY,Charles Hubert Hastings Parry,Parry,,I was glad,anthem,no,0.95,IMG_4336;IMG_4457,damaged
D-177,PARRY,Charles Hubert Hastings Parry,Parry,,There is an old belief,anthem,yes,0.95,IMG_4341,
D-178,PARSONS,Robert Parsons,Parsons,marian,Ave Maria,anthem,yes,0.85,IMG_4336,
D-179,PHILIPS,Peter Philips,Philips,ascension,Ascendit Deus,anthem,no,0.85,IMG_4336,
D-180,PITONI,Giuseppe Pitoni,Pitoni,,Cantate Domino,anthem,no,0.80,IMG_4336,
D-181,PITONI,Giuseppe Pitoni,Pitoni,,Laudate Dominum,anthem,yes,0.95,IMG_4342,Musica Sacra Nr.30 insert
D-182,POWER,Leonel Power,Power,marian,Beata progenies (ATB?),anthem,no,0.30,IMG_4336,damaged; check
D-183,POWELL (Rosephanye),Rosephanye Powell,Powell,christmas,The Word was God,anthem,no,0.97,IMG_4345,cover; modern addition
D-184,POYSER,Robert Poyser,Poyser,saints,Hail bright Cecilia; O come let us sing; Immortal love; We beseech thee,anthem,yes,0.95,IMG_4337;IMG_4460;IMG_4461;IMG_4462;IMG_4463,
D-185,POYSER,Robert Poyser,Poyser,christmas;epiphany;marian,The Angel Gabriel; Lo Sages from the East; O God my heart is ready; What child is this,carol,yes,0.95,IMG_4337;IMG_4464;IMG_4465;IMG_4466;IMG_4467,
D-186,PURCELL,Henry Purcell,Purcell,,Rejoice in the Lord,anthem,no,0.90,IMG_4337,
D-187,PURCELL,Henry Purcell,Purcell,funeral,Thou knowest Lord,anthem,no,0.90,IMG_4337;IMG_4343,
D-188,PURCELL,Henry Purcell,Purcell,,Praise the Lord O Jerusalem,anthem,yes,0.70,IMG_4337,
D-189,PURCELL,Henry Purcell,Purcell,,Hear my prayer,anthem,yes,0.50,IMG_4337,check
D-190,PURCELL,Henry Purcell,Purcell,,Lord how long,anthem,no,0.90,IMG_4337,
D-191,PURCELL,Henry Purcell,Purcell,,O God Thou art my God,anthem,no,0.90,IMG_4337,
D-192,PURCELL,Henry Purcell,Purcell,,Jehova quam multi sunt hostes (2 parcels),anthem,mixed,0.85,IMG_4337;IMG_4343,
D-193,PURCELL,Henry Purcell,Purcell,funeral,Man that is born,anthem,no,0.90,IMG_4337,
D-194,PURCELL,Henry Purcell,Purcell,,Remember not Lord,anthem,no,0.90,IMG_4337,
D-195,PURCELL,Henry Purcell,Purcell,,Thy word is a lantern,anthem,no,0.85,IMG_4337;IMG_4338,possible old ref 94
D-196,RADCLIFFE,Radcliffe,Radcliffe,,O bone Jesu; Fecisti nos / Pacem nobis,anthem,no,0.55,IMG_4337;IMG_4338;IMG_4348,check second title
D-197,REDFORD,John Redford,Redford,,Rejoice in the Lord alway,anthem,yes,0.92,IMG_4348,
D-198,RUTTER,John Rutter,Rutter,easter,God be in my head; A Gaelic blessing; The Lord bless you; Christ the Lord is risen; For the beauty of the earth,anthem,no,0.85,IMG_4338,
D-199,RUTTER,John Rutter,Rutter,,A Clare Benediction,anthem,no,0.98,IMG_4347,cover; St Mark's Anlaby Common stamp
D-200,SAMPSON,Sampson,Sampson,,O ye who bear Christ's holy name,anthem,yes,0.80,IMG_4346,
D-201,SANDERS,John Sanders,Sanders,,My beloved spake / spoke,anthem,mixed,0.85,IMG_4337;IMG_4338,check vs Hadley
D-202,SCARLATTI (A.),Alessandro Scarlatti,Scarlatti,,Exsultate Deo,anthem,no,0.85,IMG_4338,
D-203,SCHUTZ,Heinrich Schütz,Schütz,,Praise to Thee,anthem,no,0.80,IMG_4338,
D-204,SYMONS,Symons,Symons,,Sing we merrily (Trebles),anthem,no,0.80,IMG_4338,
D-205,SANDERS,John Sanders,Sanders,holyweek,The Reproaches,anthem,yes,0.85,IMG_4353,
D-206,DE SEVERAC,Déodat de Séverac,de Séverac,,Tantum ergo,anthem,yes,0.75,IMG_4353,
D-207,SAINT-SAENS,Camille Saint-Saëns,Saint-Saëns,marian,Ave Maria,anthem,yes,0.55,IMG_4353,damaged; check
D-208,SHEPHARD,Richard Shephard,Shephard,,The Secret of Christ,anthem,no,0.90,IMG_4353;IMG_4371,
D-209,SHEPHARD,Richard Shephard,Shephard,,Three anthems (Jesu dulcis / Prayer for a new Mother / The Birds),anthem,no,0.90,IMG_4353;IMG_4371,
D-210,SHEPPARD,John Sheppard,Sheppard,,In manus tuas,anthem,yes,0.85,IMG_4353;IMG_4371,
D-211,STAINER,John Stainer,Stainer,passiontide,Crucifixion (Part I / Part II),major work,yes,0.85,IMG_4353;IMG_4355;IMG_4377,
D-212,STAINER,John Stainer,Stainer,passiontide,God so loved the world; Crucifixion,anthem,yes,0.70,IMG_4353;IMG_4377,
D-213,STANFORD,Charles Villiers Stanford,Stanford,allsaints;ascension,Justorum animae; Coelos ascendit; Beati quorum via,anthem,no,0.90,IMG_4355;IMG_4357;IMG_4378,
D-214,STANFORD,Charles Villiers Stanford,Stanford,,A Song of Peace,anthem,yes,0.85,IMG_4355;IMG_4357;IMG_4360;IMG_4378,
D-215,STANFORD,Charles Villiers Stanford,Stanford,,A Song of Wisdom,anthem,yes,0.50,IMG_4357;IMG_4360,check
D-216,STANFORD,Charles Villiers Stanford,Stanford,,Glorious and powerful; The Lord is my shepherd,anthem,no,0.85,IMG_4357;IMG_4378,
D-217,STANFORD,Charles Villiers Stanford,Stanford,easter,Ye choirs of new Jerusalem,anthem,yes,0.70,IMG_4355;IMG_4357;IMG_4378,
D-218,SULLIVAN,Arthur Sullivan,Sullivan,,Lead kindly light,anthem,yes,0.85,IMG_4357;IMG_4360;IMG_4379,
D-219,TALLIS,Thomas Tallis,Tallis,,Salvator mundi,anthem,yes,0.85,IMG_4353;IMG_4354;IMG_4380,
D-220,TALLIS,Thomas Tallis,Tallis,,Litany a 5,anthem,no,0.80,IMG_4353;IMG_4354;IMG_4380,
D-221,TALLIS,Thomas Tallis,Tallis,lent;passiontide,Lamentations (ATTBB),anthem,no,0.85,IMG_4353;IMG_4354;IMG_4380,
D-222,TALLIS,Thomas Tallis,Tallis,,O Lord give Thy Holy Spirit; O nata lux; Te lucis ante terminum,anthem,no,0.90,IMG_4353;IMG_4354;IMG_4380,
D-223,TALLIS,Thomas Tallis,Tallis,candlemas,O sacrum convivium; Videte miraculum,anthem,yes,0.85,IMG_4353;IMG_4354;IMG_4380,
D-224,TAVENER / GORECKI,John Tavener,Tavener,christmas;marian,The Lamb; Totus tuus,anthem,yes,0.85,IMG_4353;IMG_4354;IMG_4380,
D-225,TCHAIKOVSKY,Pyotr Ilyich Tchaikovsky,Tchaikovsky,trinity,Hymn to the Trinity,anthem,yes,0.85,IMG_4353;IMG_4354;IMG_4384,
